title,handle,page,failedChecks,httpStatus,htmlBytes,images,availableVariantId
"North & Pearl Iridescent Pendant Necklace","north-pearl-iridescent-pendant-necklace","PASS","","200","195278","3","53774027391160"
"North & Pearl Initial Shell Necklace","north-pearl-initial-shell-necklace","PASS","","200","214969","6","53774027686072"
"North & Pearl Heart Keepsake Necklace","north-pearl-heart-keepsake-necklace","PASS","","200","213595","6","53774027948216"
"North & Pearl Flower Nail Bangle","north-pearl-flower-nail-bangle","PASS","","200","213240","6","53774029488312"
"North & Pearl Color Accent Cuff","north-pearl-color-accent-cuff","PASS","","200","213234","6","53774029717688"
"North & Pearl Sparkle Accent Bracelet","north-pearl-sparkle-accent-bracelet","PASS","","200","213557","6","53774030209208"
"North & Pearl Bridal Water Drop Set","north-pearl-bridal-water-drop-set","PASS","","200","213379","6","53774031618232"
"North & Pearl Hollow Flower Bangle Set","north-pearl-hollow-flower-bangle-set","PASS","","200","214170","6","53779863273656"
"North & Pearl Sparkle Pulse Bracelet","north-pearl-sparkle-pulse-bracelet","PASS","","200","213478","6","53779863339192"
"North & Pearl Mixed Charm Bangle","north-pearl-mixed-charm-bangle","PASS","","200","213240","6","53779863404728"
"North & Pearl Pink Heart Bow Bracelet","north-pearl-pink-heart-bow-bracelet","PASS","","200","214416","6","53779863535800"
"North & Pearl Dainty Flower Necklace","north-pearl-dainty-flower-necklace","PASS","","200","213503","6","53779863994552"
"North & Pearl Clover Charm Bracelet","north-pearl-clover-charm-bracelet","PASS","","200","207712","5","53779864027320"
"North & Pearl Twine Band Ring","north-pearl-twine-band-ring","PASS","","200","213214","6","53779864125624"
"North & Pearl Warm Bead Stretch Bracelet","north-pearl-warm-bead-stretch-bracelet","PASS","","200","214646","6","53779864158392"
"North & Pearl Chunky Bead Bracelet","north-pearl-chunky-bead-bracelet","PASS","","200","213739","6","53779864584376"
"North & Pearl V Water Drop Jewelry Set","north-pearl-v-water-drop-jewelry-set","PASS","","200","213751","6","53779864912056"
"North & Pearl Sleek Flex Bracelet","north-pearl-sleek-flex-bracelet","PASS","","200","213520","6","53790969200824"
"North & Pearl Sweetheart Oval Pendant Necklace","north-pearl-sweetheart-pendant-necklace","PASS","","200","213931","6","53790969331896"
"North & Pearl Sparkle Halo Bracelet","north-pearl-sparkle-halo-bracelet","PASS","","200","218999","6","53790970478776"
"North & Pearl Modern Statement Ring","north-pearl-modern-statement-ring","PASS","","200","220732","6","53790970577080"
"North & Pearl Heart Bracelet","north-pearl-heart-bracelet","PASS","","200","219662","6","53790970970296"
"North & Pearl Sparkle Row Bracelet","north-pearl-sparkle-row-bracelet","PASS","","200","220253","6","53790971953336"
"North & Pearl Smooth Flex Bracelet","north-pearl-smooth-flex-bracelet","PASS","","200","213372","6","53790972772536"
"North & Pearl Bead Bracelet","north-pearl-bead-bracelet","PASS","","200","219875","6","53790972969144"
"North & Pearl Sparkle Link Bracelet","north-pearl-sparkle-link-bracelet","PASS","","200","213276","6","53790973329592"
"North & Pearl Heart Charm Necklace","north-pearl-heart-charm-necklace","PASS","","200","213382","6","53790973460664"
"North & Pearl Bloom Charm Bracelet","north-pearl-bloom-charm-bracelet","PASS","","200","214866","6","53790973591736"
"North & Pearl Heart Earrings","north-pearl-heart-earrings","PASS","","200","213269","6","53790973952184"
"North & Pearl Garden Bloom Bracelet","north-pearl-garden-bloom-bracelet","PASS","","200","200990","4","53790974214328"
"North & Pearl Flower Jewelry Set","north-pearl-flower-jewelry-set","PASS","","200","213260","6","53790974279864"
"North & Pearl Polished Oval Link Bracelet","north-pearl-polished-link-bracelet","PASS","","200","201016","4","53790974738616"
"North & Pearl Floral Accent Bracelet","north-pearl-floral-accent-bracelet","PASS","","200","219767","6","53790975754424"
"North & Pearl Modern Drop Earrings","north-pearl-modern-drop-earrings","PASS","","200","213923","6","53790976016568"
