title,handle,status,variants,availableForSaleVariants,trackedVariants,totalInventory,policies
"North & Pearl Clover Bracelet","north-pearl-clover-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Sparkle Ring","north-pearl-sparkle-ring-4269","ACTIVE","1","1","0","0","DENY"
"North & Pearl Water Drop Jewelry Set","north-pearl-water-drop-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sweet Heart Keepsake Necklace","north-pearl-heart-necklace-1947","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Script Name Necklace","north-pearl-name-necklace-1996","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layered Initial Necklace","north-pearl-initial-necklace-1814","ACTIVE","1","1","0","0","DENY"
"North & Pearl Oval Link Bracelet","north-pearl-chain-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Bead Earrings","north-pearl-bead-earrings","ACTIVE","1","1","0","0","DENY"
"North & Pearl Minimal Letter Pendant","north-pearl-letter-necklace-4171","ACTIVE","1","1","0","0","DENY"
"North & Pearl Smooth Layering Bracelet","north-pearl-snake-chain-bracelet","ACTIVE","1","1","0","0","DENY"
"North & Pearl Bead Jewelry Set","north-pearl-bead-jewelry-set","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Initial Pendant","north-pearl-initial-necklace-6010","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Script Name Necklace","north-pearl-name-necklace-6429","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sculpted Heart Pendant Necklace","north-pearl-heart-necklace-7284","ACTIVE","1","1","0","0","DENY"
"North & Pearl Heirloom Script Name Necklace","north-pearl-name-necklace-0389","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sweetheart Drop Pendant Necklace","north-pearl-heart-necklace-2260","ACTIVE","1","1","0","0","DENY"
"North & Pearl Petite Heart Earrings","north-pearl-heart-earrings-5822","ACTIVE","1","1","0","0","DENY"
"North & Pearl Clover Link Bracelet","north-pearl-clover-bracelet-1195","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Letter Tag Necklace","north-pearl-letter-necklace-0689","ACTIVE","1","1","0","0","DENY"
"North & Pearl Keepsake Heart Pendant Necklace","north-pearl-heart-necklace-2923","ACTIVE","1","1","0","0","DENY"
"North & Pearl Beaded Keepsake Bracelet","north-pearl-bead-bracelet-0492","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Classic Name Necklace","north-pearl-name-necklace-4242","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Letter Pendant Necklace","north-pearl-letter-necklace-4810","ACTIVE","1","1","0","0","DENY"
"North & Pearl Framed Initial Pendant Necklace","north-pearl-initial-necklace-6142","ACTIVE","1","1","0","0","DENY"
"North & Pearl Classic Initial Charm Necklace","north-pearl-initial-necklace-4829","ACTIVE","1","1","0","0","DENY"
"North & Pearl Statement Letter Pendant Necklace","north-pearl-letter-necklace-2555","ACTIVE","1","1","0","0","DENY"
"North & Pearl Script Classic Name Necklace","north-pearl-name-necklace-1616","ACTIVE","1","1","0","0","DENY"
"North & Pearl Nameplate Charm Necklace","north-pearl-name-necklace-8213","ACTIVE","1","1","0","0","DENY"
"North & Pearl Minimal Initial Pendant Necklace","north-pearl-initial-necklace-4204","ACTIVE","1","1","0","0","DENY"
"North & Pearl Custom Script Name Necklace","north-pearl-name-necklace-7562","ACTIVE","1","1","0","0","DENY"
"North & Pearl Petite Heart Charm Necklace","north-pearl-heart-necklace-0474","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Letter Charm Necklace","north-pearl-letter-necklace-2156","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layering Dainty Initial Necklace","north-pearl-initial-necklace-8531","ACTIVE","1","1","0","0","DENY"
"North & Pearl Open Heart Pendant Necklace","north-pearl-heart-necklace-3361","ACTIVE","1","1","0","0","DENY"
"North & Pearl Rounded Heart Pendant Necklace","north-pearl-heart-necklace-1404","ACTIVE","1","1","0","0","DENY"
"North & Pearl Clover Station Bracelet","north-pearl-clover-bracelet-4268","ACTIVE","1","1","0","0","DENY"
"North & Pearl Petite Letter Necklace","north-pearl-letter-necklace-1571","ACTIVE","1","1","0","0","DENY"
"North & Pearl Floating Nameplate Necklace","north-pearl-name-necklace-1956","ACTIVE","1","1","0","0","DENY"
"North & Pearl Beaded Layering Necklace","north-pearl-bead-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Layered Letter Necklace","north-pearl-letter-necklace-1755","ACTIVE","1","1","0","0","DENY"
"North & Pearl Slim Letter Pendant Necklace","north-pearl-letter-necklace-2210","ACTIVE","1","1","0","0","DENY"
"North & Pearl Heart Accent Ring","north-pearl-heart-ring-7637","ACTIVE","1","1","0","0","DENY"
"North & Pearl Giftable Nameplate Necklace","north-pearl-name-necklace-8379","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Name Pendant Necklace","north-pearl-name-necklace-5921","ACTIVE","1","1","0","0","DENY"
"North & Pearl Bloom Pendant Necklace","north-pearl-flower-necklace","ACTIVE","1","1","0","0","DENY"
"North & Pearl Block Initial Necklace","north-pearl-initial-necklace-3226","ACTIVE","1","1","0","0","DENY"
"North & Pearl Personal Name Necklace","north-pearl-name-necklace-7245","ACTIVE","1","1","0","0","DENY"
"North & Pearl Fine Script Name Necklace","north-pearl-name-necklace-6301","ACTIVE","1","1","0","0","DENY"
"North & Pearl Polished Bead Bracelet","north-pearl-bead-bracelet-3656","ACTIVE","1","1","0","0","DENY"
"North & Pearl Everyday Rounded Link Bracelet","north-pearl-signature-bracelet-1724","ACTIVE","1","1","0","0","DENY"
"North & Pearl Framed Letter Necklace","north-pearl-letter-necklace-3046","ACTIVE","1","1","0","0","DENY"
"North & Pearl Refined Nameplate Necklace","north-pearl-name-necklace-6441","ACTIVE","1","1","0","0","DENY"
"North & Pearl Simple Initial Pendant Necklace","north-pearl-initial-necklace-2758","ACTIVE","1","1","0","0","DENY"
"North & Pearl Modern Name Necklace","north-pearl-name-necklace-6376","ACTIVE","1","1","0","0","DENY"
"North & Pearl Charm Keepsake Name Necklace","north-pearl-name-necklace-8628","ACTIVE","1","1","0","0","DENY"
"North & Pearl Luxe Name Pendant Necklace","north-pearl-name-necklace-0823","ACTIVE","1","1","0","0","DENY"
"North & Pearl Dainty Name Pendant Necklace","north-pearl-name-necklace-5254","ACTIVE","1","1","0","0","DENY"
"North & Pearl Sparkle Pendant Necklace","north-pearl-sparkle-necklace-9390","ACTIVE","1","1","0","0","DENY"
"North & Pearl Framed Heirloom Letter Necklace","north-pearl-letter-necklace-7676","ACTIVE","1","1","0","0","DENY"
