title,handle,page,failedChecks,httpStatus,htmlBytes,images,availableVariantId
"North & Pearl Iridescent Pendant Necklace","north-pearl-iridescent-pendant-necklace","PASS","","200","171467","3","53774027391160"
"North & Pearl Initial Shell Necklace","north-pearl-initial-shell-necklace","PASS","","200","188157","6","53774027686072"
"North & Pearl Heart Keepsake Necklace","north-pearl-heart-keepsake-necklace","PASS","","200","189089","6","53774027948216"
"North & Pearl Flower Nail Bangle","north-pearl-flower-nail-bangle","PASS","","200","189136","6","53774029488312"
"North & Pearl Color Accent Cuff","north-pearl-color-accent-cuff","PASS","","200","189304","6","53774029717688"
"North & Pearl Sparkle Accent Bracelet","north-pearl-sparkle-accent-bracelet","PASS","","200","189463","6","53774030209208"
"North & Pearl Bridal Water Drop Set","north-pearl-bridal-water-drop-set","PASS","","200","188615","6","53774031618232"
"North & Pearl Hollow Flower Bangle Set","north-pearl-hollow-flower-bangle-set","PASS","","200","191145","6","53779863273656"
"North & Pearl Sparkle Pulse Bracelet","north-pearl-sparkle-pulse-bracelet","PASS","","200","189387","6","53779863339192"
"North & Pearl Mixed Charm Bangle","north-pearl-mixed-charm-bangle","PASS","","200","189055","6","53779863404728"
"North & Pearl Pink Heart Bow Bracelet","north-pearl-pink-heart-bow-bracelet","PASS","","200","190022","6","53779863535800"
"North & Pearl Dainty Flower Necklace","north-pearl-dainty-flower-necklace","PASS","","200","189072","6","53779863994552"
"North & Pearl Clover Charm Bracelet","north-pearl-clover-charm-bracelet","PASS","","200","183307","5","53779864027320"
"North & Pearl Twine Band Ring","north-pearl-twine-band-ring","PASS","","200","188996","6","53779864125624"
"North & Pearl Warm Bead Stretch Bracelet","north-pearl-warm-bead-stretch-bracelet","PASS","","200","190603","6","53779864158392"
"North & Pearl Chunky Bead Bracelet","north-pearl-chunky-bead-bracelet","PASS","","200","189773","6","53779864584376"
"North & Pearl V Water Drop Jewelry Set","north-pearl-v-water-drop-jewelry-set","PASS","","200","189447","6","53779864912056"
"North & Pearl Sleek Flex Bracelet","north-pearl-sleek-flex-bracelet","PASS","","200","189097","6","53790969200824"
"North & Pearl Sweetheart Pendant Necklace","north-pearl-sweetheart-pendant-necklace","PASS","","200","189455","6","53790969331896"
"North & Pearl Sparkle Halo Bracelet","north-pearl-sparkle-halo-bracelet","PASS","","200","194821","6","53790970478776"
"North & Pearl Modern Statement Ring","north-pearl-modern-statement-ring","PASS","","200","196310","6","53790970577080"
"North & Pearl Heart Bracelet","north-pearl-heart-bracelet","PASS","","200","195377","6","53790970970296"
"North & Pearl Sparkle Row Bracelet","north-pearl-sparkle-row-bracelet","PASS","","200","196190","6","53790971953336"
"North & Pearl Smooth Flex Bracelet","north-pearl-smooth-flex-bracelet","PASS","","200","188976","6","53790972772536"
"North & Pearl Bead Bracelet","north-pearl-bead-bracelet","PASS","","200","195599","6","53790972969144"
"North & Pearl Sparkle Link Bracelet","north-pearl-sparkle-link-bracelet","PASS","","200","189208","6","53790973329592"
"North & Pearl Heart Charm Necklace","north-pearl-heart-charm-necklace","PASS","","200","189045","6","53790973460664"
"North & Pearl Bloom Charm Bracelet","north-pearl-bloom-charm-bracelet","PASS","","200","190544","6","53790973591736"
"North & Pearl Heart Earrings","north-pearl-heart-earrings","PASS","","200","188988","6","53790973952184"
"North & Pearl Garden Bloom Bracelet","north-pearl-garden-bloom-bracelet","PASS","","200","176711","4","53790974214328"
"North & Pearl Flower Jewelry Set","north-pearl-flower-jewelry-set","PASS","","200","188968","6","53790974279864"
"North & Pearl Polished Link Bracelet","north-pearl-polished-link-bracelet","PASS","","200","176717","4","53790974738616"
"North & Pearl Floral Accent Bracelet","north-pearl-floral-accent-bracelet","PASS","","200","195494","6","53790975754424"
"North & Pearl Modern Drop Earrings","north-pearl-modern-drop-earrings","PASS","","200","189562","6","53790976016568"
"North & Pearl Heart Ring","north-pearl-heart-ring","PASS","","200","191732","6","53799312982200"
"North & Pearl Classic Name Necklace","north-pearl-name-necklace","PASS","","200","191486","6","53799314817208"
"North & Pearl Sculpted Heart Pendant","north-pearl-heart-necklace","PASS","","200","193130","6","53799316652216"
"North & Pearl Heart Jewelry Set","north-pearl-heart-jewelry-set","PASS","","200","190866","6","53799316717752"
"North & Pearl Everyday Link Bracelet","north-pearl-signature-bracelet","PASS","","200","189222","6","53799316816056"
"North & Pearl Classic Initial Necklace","north-pearl-initial-necklace","PASS","","200","190733","6","53799316947128"
"North & Pearl Script Name Necklace","north-pearl-name-necklace-6152","PASS","","200","191757","6","53799317012664"
"North & Pearl Framed Initial Necklace","north-pearl-initial-necklace-6868","PASS","","200","190796","6","53799317962936"
"North & Pearl Sparkle Bracelet","north-pearl-sparkle-bracelet","PASS","","200","189459","6","53799318159544"
"North & Pearl Everyday Name Necklace","north-pearl-name-necklace-5330","PASS","","200","190675","6","53799319077048"
"North & Pearl Dainty Letter Pendant","north-pearl-letter-necklace-6404","PASS","","200","184562","5","53799319208120"
"North & Pearl Polished Name Necklace","north-pearl-name-necklace-7262","PASS","","200","190679","6","53799319404728"
"North & Pearl Everyday Letter Necklace","north-pearl-letter-necklace-0021","PASS","","200","190809","6","53799319666872"
"North & Pearl Sparkle Drop Necklace","north-pearl-sparkle-necklace-2894","PASS","","200","193015","6","53799319863480"
"North & Pearl Sparkle Accent Necklace","north-pearl-sparkle-necklace-5629","PASS","","200","192071","6","53799320453304"
"North & Pearl Petite Love Pendant","north-pearl-heart-necklace-4710","PASS","","200","192066","6","53799322026168"
"North & Pearl Custom Name Pendant","north-pearl-name-necklace-1832","PASS","","200","190632","6","53799322058936"
"North & Pearl Flower Earrings","north-pearl-flower-earrings","PASS","","200","188851","6","53799322157240"
"North & Pearl Floating Name Necklace","north-pearl-name-necklace-4075","PASS","","200","190829","6","53799322190008"
"North & Pearl Custom Script Pendant","north-pearl-name-necklace-2338","PASS","","200","190651","6","53799322255544"
"North & Pearl Dainty Initial Charm","north-pearl-initial-necklace-6130","PASS","","200","172015","3","53799322386616"
"North & Pearl Clover Earrings","north-pearl-clover-earrings","PASS","","200","188997","6","53799322452152"
"North & Pearl Polished Letter Necklace","north-pearl-letter-necklace-9008","PASS","","200","185787","5","53799322517688"
"North & Pearl Clover Bracelet","north-pearl-clover-bracelet","PASS","","200","188774","6","53799323959480"
"North & Pearl Polished Sparkle Ring","north-pearl-sparkle-ring-4269","PASS","","200","189111","6","53799324123320"
"North & Pearl Water Drop Jewelry Set","north-pearl-water-drop-jewelry-set","PASS","","200","189597","6","53799324188856"
"North & Pearl Sweet Heart Keepsake Necklace","north-pearl-heart-necklace-1947","PASS","","200","192784","6","53799324254392"
"North & Pearl Refined Name Necklace","north-pearl-name-necklace-1996","PASS","","200","191080","6","53799324418232"
